#options: 1920x1080 fps=2997/50 timebase=50/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5593 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:120 out:119 type:P dur:2 cpbdur:2 q:22.15 aq:9.18 tex:224904 mv:34435 misc:5189 imb:4218 pmb:2183 smb:1759 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:22.17 aq:11.64 tex:31171 mv:26695 misc:7502 imb:516 pmb:2952 smb:4692 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:22.30 aq:10.37 tex:134500 mv:34357 misc:6479 imb:2656 pmb:2395 smb:3109 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:22.23 aq:11.02 tex:42047 mv:27002 misc:7247 imb:618 pmb:2771 smb:4771 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:22.19 aq:11.78 tex:25448 mv:18124 misc:6852 imb:418 pmb:2301 smb:5441 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:22.27 aq:11.31 tex:21510 mv:16235 misc:6255 imb:460 pmb:1790 smb:5910 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:22.24 aq:10.16 tex:71357 mv:25388 misc:6703 imb:1948 pmb:1809 smb:4403 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:22.26 aq:10.79 tex:60956 mv:19886 misc:6470 imb:1363 pmb:1492 smb:5305 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:22.26 aq:10.89 tex:66064 mv:21816 misc:7016 imb:1511 pmb:1772 smb:4877 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:22.27 aq:10.17 tex:70415 mv:26518 misc:6259 imb:2165 pmb:1735 smb:4260 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:22.26 aq:10.65 tex:68030 mv:19840 misc:6210 imb:1385 pmb:1475 smb:5300 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:22.25 aq:10.11 tex:84426 mv:23961 misc:6733 imb:1727 pmb:1896 smb:4537 d:- ref:0 ;
in:133 out:131 type:P dur:2 cpbdur:2 q:22.44 aq:9.70 tex:230710 mv:34009 misc:5857 imb:2892 pmb:2361 smb:2907 d:- ref:0 ;
in:131 out:132 type:B dur:2 cpbdur:2 q:22.31 aq:11.02 tex:33085 mv:28518 misc:6685 imb:874 pmb:2077 smb:5209 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:22.37 aq:12.09 tex:38094 mv:23554 misc:7096 imb:824 pmb:2474 smb:4862 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:22.50 aq:10.24 tex:118202 mv:32673 misc:6293 imb:2619 pmb:2301 smb:3240 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:22.47 aq:11.08 tex:45751 mv:25614 misc:6987 imb:606 pmb:2562 smb:4992 d:- ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:22.45 aq:11.61 tex:21030 mv:19817 misc:6305 imb:553 pmb:1915 smb:5692 d:- ref:0 ;
